density,method,time_mean,time_std,nodes_mean,nodes_std,success_rate
0.1,A*,9.200644159282092,8.462299414590541,1180.16,1077.5470729392755,100.0
0.1,AILS-Base,8.570884140499402,4.689011450177644,672.46,438.6666255825715,100.0
0.1,AILS-Adaptive,17.19358921953244,8.223057666949114,739.38,494.3029795580844,100.0
0.15,A*,10.581520759733394,11.855233792156568,1395.96,1542.5145958466649,100.0
0.15,AILS-Base,9.725490820419509,10.333011297910193,718.26,449.79474474475575,100.0
0.15,AILS-Adaptive,17.728554060740862,8.742975671581483,840.66,576.3339521492726,100.0
0.2,A*,12.18243415816687,10.49720483468794,1684.52,1446.683341163504,100.0
0.2,AILS-Base,8.566699198563583,5.451476041246676,717.18,419.1608612454174,100.0
0.2,AILS-Adaptive,18.42788407986518,9.609518240947374,929.7,567.17395038912,100.0
0.25,A*,15.577917530115846,12.169170984225774,2248.1632653061224,1748.0657922860817,98.0
0.25,AILS-Base,20.880552733671013,31.644578613716863,944.469387755102,680.219955483813,98.0
0.25,AILS-Adaptive,25.575853796017697,28.72597360839806,1146.4897959183672,672.6027763798154,98.0
0.3,A*,18.60669883810297,15.229633808854887,2791.469387755102,2275.1953053824454,98.0
0.3,AILS-Base,68.14414797806923,88.1427435234613,1424.7755102040817,995.861134186852,98.0
0.3,AILS-Adaptive,43.39299657250213,46.69046142123106,1280.1632653061224,781.1085619741584,98.0
0.35,A*,19.40099915056793,15.782963988859398,3051.913043478261,2473.025807510402,92.0
0.35,AILS-Base,273.10115397742027,423.1236376893815,1852.3478260869565,1391.1879536911158,92.0
0.35,AILS-Adaptive,207.02570199943654,311.19681507449997,1737.0,1290.2906986243534,92.0
0.4,A*,21.692867588546292,12.818186481399808,3608.9411764705883,2132.1209399145596,34.0
0.4,AILS-Base,1005.8555807053755,837.6923136252748,2640.764705882353,1415.2349432644312,34.0
0.4,AILS-Adaptive,863.4672917062691,819.8903930689504,2611.176470588235,1534.260666375679,34.0
