Comparison,d_time,d_nodes
A* vs Dijkstra,-1.7196658016395185,-1.9859618861974564
A* vs BFS,-1.3408574773130177,-1.9787984238113872
A* vs Bidirectional A*,-0.7458121356275857,-0.7642438654878404
A* vs AILS-Base,-0.32577677877219635,0.8166560845077216
A* vs AILS-Adaptive,-0.34435324460100936,0.7612091381215939
