map,map_width,map_height,scenario_id,start,goal,manhattan_distance,euclidean_distance,algorithm,path_length,path_cost,visited_nodes,execution_time_ms,corridor_size,corridor_time_ms,expansions,found
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,AILS,16,17.071067811865476,51,0.8642673492431641,112.0,0.2593994140625,0,True
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,A*,16,17.071067811865476,52,0.6339550018310547,,,0,True
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,Dijkstra,16,17.071067811865476,587,4.621267318725586,,,0,True
den312d,65,81,10,"(43, 48)","(28, 43)",20,15.811388300841896,BFS,21,20.0,663,1.0695457458496094,,,0,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,AILS,81,84.97056274847711,351,7.503509521484375,497.0,1.2919902801513672,1,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,A*,80,84.3847763108502,427,4.700660705566406,,,0,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,Dijkstra,80,84.3847763108502,3835,29.178142547607422,,,0,True
den312d,65,81,11,"(30, 2)","(45, 79)",92,78.44743462982075,BFS,93,92.0,3796,7.373809814453125,,,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,AILS,33,37.79898987322332,103,1.6963481903076172,227.0,0.5381107330322266,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,A*,33,37.79898987322332,174,2.147197723388672,,,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,Dijkstra,33,37.79898987322332,1117,8.726119995117188,,,0,True
den312d,65,81,12,"(6, 73)","(22, 43)",46,34.0,BFS,47,46.0,1348,2.365589141845703,,,0,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,AILS,62,73.8406204335659,454,7.847309112548828,427.0,0.8871555328369141,1,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,A*,62,73.8406204335659,613,6.894826889038086,,,0,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,Dijkstra,62,73.8406204335659,3763,28.781890869140625,,,0,True
den312d,65,81,13,"(58, 23)","(9, 66)",92,65.19202405202648,BFS,93,92.0,3809,7.279634475708008,,,0,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,AILS,51,59.11269837220807,308,6.086111068725586,318.0,0.8232593536376953,1,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,A*,51,59.11269837220807,397,4.548072814941406,,,0,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,Dijkstra,51,59.11269837220807,3296,27.15015411376953,,,0,True
den312d,65,81,14,"(44, 17)","(19, 64)",72,53.23532661682466,BFS,73,72.0,3508,6.538152694702148,,,0,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,AILS,57,61.38477631085022,333,6.366491317749023,383.0,0.9100437164306641,1,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,A*,57,61.38477631085022,450,4.957675933837891,,,0,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,Dijkstra,57,61.38477631085022,3814,28.89275550842285,,,0,True
den312d,65,81,15,"(20, 53)","(38, 2)",69,54.08326913195984,BFS,70,69.0,3736,6.855487823486328,,,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,AILS,52,54.72792206135785,100,2.0706653594970703,346.0,0.8654594421386719,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,A*,52,53.89949493661166,131,1.569986343383789,,,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,Dijkstra,52,53.89949493661166,2297,18.372774124145508,,,0,True
den312d,65,81,16,"(8, 69)","(59, 62)",58,51.478150704935004,BFS,59,58.0,2193,4.967927932739258,,,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,AILS,45,46.07106781186547,161,2.4688243865966797,293.0,0.7190704345703125,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,A*,45,46.07106781186546,207,2.305746078491211,,,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,Dijkstra,45,46.07106781186546,1617,12.230634689331055,,,0,True
den312d,65,81,17,"(55, 74)","(48, 32)",49,42.579337712087536,BFS,50,49.0,1524,2.6404857635498047,,,0,True
den312d,65,81,18,"(51, 59)","(27, 7)",76,57.271284253105414,AILS,59,65.45584412271569,376,7.917165756225586,385.0,0.8988380432128906,1,True
den312d,65,81,18,"(51, 59)","(27, 7)",76,57.271284253105414,A*,58,64.8700576850888,551,6.118297576904297,,,0,True
den312d,65,81,18,"(51, 59)","(27, 7)",76,57.271284253105414,Dijkstra,58,64.8700576850888,3635,27.734756469726562,,,0,True
den312d,65,81,18,"(51, 59)","(27, 7)",76,57.271284253105414,BFS,77,76.0,3597,6.821632385253906,,,0,True
den312d,65,81,19,"(57, 29)","(51, 5)",30,24.73863375370596,AILS,25,26.48528137423857,66,1.3263225555419922,157.0,0.4279613494873047,0,True
den312d,65,81,19,"(57, 29)","(51, 5)",30,24.73863375370596,A*,25,26.48528137423857,78,1.020193099975586,,,0,True
den312d,65,81,19,"(57, 29)","(51, 5)",30,24.73863375370596,Dijkstra,25,26.48528137423857,874,6.755352020263672,,,0,True
den312d,65,81,19,"(57, 29)","(51, 5)",30,24.73863375370596,BFS,31,30.0,941,1.852273941040039,,,0,True
den312d,65,81,20,"(31, 77)","(46, 57)",35,25.0,AILS,25,28.55634918610405,76,2.0999908447265625,165.0,0.6091594696044922,0,True
den312d,65,81,20,"(31, 77)","(46, 57)",35,25.0,A*,25,28.55634918610405,92,1.1093616485595703,,,0,True
den312d,65,81,20,"(31, 77)","(46, 57)",35,25.0,Dijkstra,25,28.55634918610405,897,7.179975509643555,,,0,True
den312d,65,81,20,"(31, 77)","(46, 57)",35,25.0,BFS,36,35.0,1134,1.989126205444336,,,0,True
den312d,65,81,21,"(7, 7)","(59, 39)",84,61.05735008989499,AILS,62,70.52691193458115,254,3.5746097564697266,411.0,0.9825229644775391,0,True
den312d,65,81,21,"(7, 7)","(59, 39)",84,61.05735008989499,A*,61,69.94112549695424,648,7.568359375,,,0,True
den312d,65,81,21,"(7, 7)","(59, 39)",84,61.05735008989499,Dijkstra,61,69.94112549695424,3030,23.403406143188477,,,0,True
den312d,65,81,21,"(7, 7)","(59, 39)",84,61.05735008989499,BFS,85,84.0,3206,6.179571151733398,,,0,True
den312d,65,81,22,"(26, 30)","(38, 20)",22,15.620499351813308,AILS,23,25.313708498984763,162,3.2622814178466797,145.0,0.2498626708984375,1,True
den312d,65,81,22,"(26, 30)","(38, 20)",22,15.620499351813308,A*,23,25.313708498984763,201,2.3679733276367188,,,0,True
den312d,65,81,22,"(26, 30)","(38, 20)",22,15.620499351813308,Dijkstra,23,25.313708498984763,939,7.710933685302734,,,0,True
den312d,65,81,22,"(26, 30)","(38, 20)",22,15.620499351813308,BFS,31,30.0,1130,2.001047134399414,,,0,True
den312d,65,81,23,"(62, 39)","(19, 18)",64,47.853944456021594,AILS,50,56.0416305603426,206,3.019094467163086,333.0,0.8063316345214844,0,True
den312d,65,81,23,"(62, 39)","(19, 18)",64,47.853944456021594,A*,50,56.0416305603426,363,4.130840301513672,,,0,True
den312d,65,81,23,"(62, 39)","(19, 18)",64,47.853944456021594,Dijkstra,50,56.0416305603426,2727,22.083044052124023,,,0,True
den312d,65,81,23,"(62, 39)","(19, 18)",64,47.853944456021594,BFS,65,64.0,2796,5.404949188232422,,,0,True
den312d,65,81,24,"(62, 45)","(47, 6)",54,41.78516483155236,AILS,49,52.97056274847713,166,6.087303161621094,293.0,0.7481575012207031,2,True
den312d,65,81,24,"(62, 45)","(47, 6)",54,41.78516483155236,A*,49,52.97056274847713,166,1.9426345825195312,,,0,True
den312d,65,81,24,"(62, 45)","(47, 6)",54,41.78516483155236,Dijkstra,49,52.97056274847713,2375,18.51963996887207,,,0,True
den312d,65,81,24,"(62, 45)","(47, 6)",54,41.78516483155236,BFS,61,60.0,2458,4.658699035644531,,,0,True
den312d,65,81,25,"(54, 62)","(41, 45)",30,21.400934559032695,AILS,24,25.899494936611667,92,1.3284683227539062,142.0,0.3142356872558594,0,True
den312d,65,81,25,"(54, 62)","(41, 45)",30,21.400934559032695,A*,22,24.72792206135786,89,1.0542869567871094,,,0,True
den312d,65,81,25,"(54, 62)","(41, 45)",30,21.400934559032695,Dijkstra,22,24.72792206135786,861,6.852865219116211,,,0,True
den312d,65,81,25,"(54, 62)","(41, 45)",30,21.400934559032695,BFS,31,30.0,1016,1.726388931274414,,,0,True
den312d,65,81,26,"(34, 66)","(16, 65)",19,18.027756377319946,AILS,19,19.242640687119284,46,0.9164810180664062,111.0,0.2980232238769531,0,True
den312d,65,81,26,"(34, 66)","(16, 65)",19,18.027756377319946,A*,19,19.242640687119284,46,0.6260871887207031,,,0,True
den312d,65,81,26,"(34, 66)","(16, 65)",19,18.027756377319946,Dijkstra,19,19.242640687119284,680,5.422115325927734,,,0,True
den312d,65,81,26,"(34, 66)","(16, 65)",19,18.027756377319946,BFS,22,21.0,645,1.0666847229003906,,,0,True
den312d,65,81,27,"(18, 43)","(35, 25)",35,24.758836806279895,AILS,23,27.384776310850242,67,1.1031627655029297,151.0,0.34618377685546875,0,True
den312d,65,81,27,"(18, 43)","(35, 25)",35,24.758836806279895,A*,23,27.384776310850242,73,0.9171962738037109,,,0,True
den312d,65,81,27,"(18, 43)","(35, 25)",35,24.758836806279895,Dijkstra,23,27.384776310850242,1346,10.798454284667969,,,0,True
den312d,65,81,27,"(18, 43)","(35, 25)",35,24.758836806279895,BFS,36,35.0,1741,2.99835205078125,,,0,True
den312d,65,81,28,"(14, 40)","(46, 51)",43,33.83784863137726,AILS,39,41.727922061357845,140,2.031564712524414,244.0,0.5970001220703125,0,True
den312d,65,81,28,"(14, 40)","(46, 51)",43,33.83784863137726,A*,39,41.727922061357845,297,3.317117691040039,,,0,True
den312d,65,81,28,"(14, 40)","(46, 51)",43,33.83784863137726,Dijkstra,39,41.727922061357845,2380,19.574880599975586,,,0,True
den312d,65,81,28,"(14, 40)","(46, 51)",43,33.83784863137726,BFS,48,47.0,2401,4.313945770263672,,,0,True
den312d,65,81,29,"(35, 21)","(48, 70)",62,50.695167422546305,AILS,54,57.55634918610403,162,2.705812454223633,350.0,0.8833408355712891,0,True
den312d,65,81,29,"(35, 21)","(48, 70)",62,50.695167422546305,A*,53,56.14213562373094,268,3.267526626586914,,,0,True
den312d,65,81,29,"(35, 21)","(48, 70)",62,50.695167422546305,Dijkstra,53,56.14213562373094,3382,27.167558670043945,,,0,True
den312d,65,81,29,"(35, 21)","(48, 70)",62,50.695167422546305,BFS,63,62.0,3373,6.53076171875,,,0,True
den312d,65,81,30,"(2, 77)","(46, 1)",120,87.8179936004006,AILS,85,98.91168824543138,671,11.46078109741211,561.0,1.340627670288086,1,True
den312d,65,81,30,"(2, 77)","(46, 1)",120,87.8179936004006,A*,82,97.15432893255065,876,10.447502136230469,,,0,True
den312d,65,81,30,"(2, 77)","(46, 1)",120,87.8179936004006,Dijkstra,82,97.15432893255065,3890,30.82442283630371,,,0,True
den312d,65,81,30,"(2, 77)","(46, 1)",120,87.8179936004006,BFS,121,120.0,3883,7.808923721313477,,,0,True
den312d,65,81,31,"(42, 47)","(32, 75)",38,29.732137494637012,AILS,33,34.48528137423857,212,4.260778427124023,202.0,0.5125999450683594,1,True
den312d,65,81,31,"(42, 47)","(32, 75)",38,29.732137494637012,A*,33,34.48528137423857,232,2.6836395263671875,,,0,True
den312d,65,81,31,"(42, 47)","(32, 75)",38,29.732137494637012,Dijkstra,33,34.48528137423857,2133,16.776561737060547,,,0,True
den312d,65,81,31,"(42, 47)","(32, 75)",38,29.732137494637012,BFS,39,38.0,2139,3.7806034088134766,,,0,True
den312d,65,81,32,"(30, 10)","(54, 35)",49,34.655446902326915,AILS,35,40.21320343559643,204,4.920482635498047,236.0,0.47326087951660156,1,True
den312d,65,81,32,"(30, 10)","(54, 35)",49,34.655446902326915,A*,35,40.21320343559643,211,2.4881362915039062,,,0,True
den312d,65,81,32,"(30, 10)","(54, 35)",49,34.655446902326915,Dijkstra,35,40.21320343559643,1977,16.123533248901367,,,0,True
den312d,65,81,32,"(30, 10)","(54, 35)",49,34.655446902326915,BFS,50,49.0,2181,3.988504409790039,,,0,True
den312d,65,81,33,"(1, 24)","(56, 34)",65,55.90169943749474,AILS,58,60.31370849898475,356,7.782936096191406,390.0,1.024007797241211,1,True
den312d,65,81,33,"(1, 24)","(56, 34)",65,55.90169943749474,A*,58,60.31370849898475,414,4.856109619140625,,,0,True
den312d,65,81,33,"(1, 24)","(56, 34)",65,55.90169943749474,Dijkstra,58,60.31370849898475,2929,23.443937301635742,,,0,True
den312d,65,81,33,"(1, 24)","(56, 34)",65,55.90169943749474,BFS,66,65.0,2733,5.22613525390625,,,0,True
den312d,65,81,34,"(9, 47)","(25, 71)",40,28.844410203711913,AILS,29,32.97056274847715,111,1.6071796417236328,188.0,0.41222572326660156,0,True
den312d,65,81,34,"(9, 47)","(25, 71)",40,28.844410203711913,A*,29,32.97056274847715,174,2.011537551879883,,,0,True
den312d,65,81,34,"(9, 47)","(25, 71)",40,28.844410203711913,Dijkstra,29,32.97056274847715,1453,11.65914535522461,,,0,True
den312d,65,81,34,"(9, 47)","(25, 71)",40,28.844410203711913,BFS,41,40.0,1717,3.0536651611328125,,,0,True
den312d,65,81,35,"(3, 16)","(21, 73)",75,59.77457653551382,AILS,61,66.2132034355964,327,7.328510284423828,393.0,1.043081283569336,1,True
den312d,65,81,35,"(3, 16)","(21, 73)",75,59.77457653551382,A*,61,66.2132034355964,395,4.44793701171875,,,0,True
den312d,65,81,35,"(3, 16)","(21, 73)",75,59.77457653551382,Dijkstra,61,66.2132034355964,3144,24.793386459350586,,,0,True
den312d,65,81,35,"(3, 16)","(21, 73)",75,59.77457653551382,BFS,76,75.0,3088,6.044626235961914,,,0,True
den312d,65,81,36,"(34, 3)","(45, 68)",76,65.92419889539804,AILS,69,71.31370849898475,237,6.26826286315918,436.0,1.1410713195800781,1,True
den312d,65,81,36,"(34, 3)","(45, 68)",76,65.92419889539804,A*,69,71.31370849898475,281,3.458738327026367,,,0,True
den312d,65,81,36,"(34, 3)","(45, 68)",76,65.92419889539804,Dijkstra,69,71.31370849898475,3256,25.473594665527344,,,0,True
den312d,65,81,36,"(34, 3)","(45, 68)",76,65.92419889539804,BFS,77,76.0,3170,6.061315536499023,,,0,True
den312d,65,81,37,"(34, 4)","(20, 56)",66,53.85164807134504,AILS,55,58.97056274847712,281,7.175207138061523,353.0,0.9148120880126953,1,True
den312d,65,81,37,"(34, 4)","(20, 56)",66,53.85164807134504,A*,55,58.97056274847712,298,3.381490707397461,,,0,True
den312d,65,81,37,"(34, 4)","(20, 56)",66,53.85164807134504,Dijkstra,55,58.97056274847712,2657,21.1184024810791,,,0,True
den312d,65,81,37,"(34, 4)","(20, 56)",66,53.85164807134504,BFS,67,66.0,2654,4.966259002685547,,,0,True
den312d,65,81,38,"(32, 28)","(11, 51)",44,31.144823004794873,AILS,32,37.21320343559643,135,1.8317699432373047,208.0,0.4248619079589844,0,True
den312d,65,81,38,"(32, 28)","(11, 51)",44,31.144823004794873,A*,32,37.21320343559643,247,2.7756690979003906,,,0,True
den312d,65,81,38,"(32, 28)","(11, 51)",44,31.144823004794873,Dijkstra,32,37.21320343559643,2541,19.689321517944336,,,0,True
den312d,65,81,38,"(32, 28)","(11, 51)",44,31.144823004794873,BFS,47,46.0,2771,4.938840866088867,,,0,True
den312d,65,81,39,"(24, 72)","(17, 68)",11,8.06225774829855,AILS,10,9.82842712474619,25,0.5502700805664062,69.0,0.18668174743652344,0,True
den312d,65,81,39,"(24, 72)","(17, 68)",11,8.06225774829855,A*,10,9.82842712474619,25,0.27060508728027344,,,0,True
den312d,65,81,39,"(24, 72)","(17, 68)",11,8.06225774829855,Dijkstra,10,9.82842712474619,188,1.6505718231201172,,,0,True
den312d,65,81,39,"(24, 72)","(17, 68)",11,8.06225774829855,BFS,12,11.0,205,0.3330707550048828,,,0,True
den312d,65,81,40,"(42, 48)","(5, 63)",52,39.92492955535426,AILS,41,44.970562748477136,262,5.903005599975586,246.0,0.6544589996337891,1,True
den312d,65,81,40,"(42, 48)","(5, 63)",52,39.92492955535426,A*,41,44.970562748477136,319,3.482818603515625,,,0,True
den312d,65,81,40,"(42, 48)","(5, 63)",52,39.92492955535426,Dijkstra,41,44.97056274847712,3143,25.243759155273438,,,0,True
den312d,65,81,40,"(42, 48)","(5, 63)",52,39.92492955535426,BFS,53,52.0,3174,5.959272384643555,,,0,True
den312d,65,81,41,"(56, 47)","(53, 6)",44,41.10960958218893,AILS,42,42.242640687119284,78,1.7354488372802734,243.0,0.6737709045410156,0,True
den312d,65,81,41,"(56, 47)","(53, 6)",44,41.10960958218893,A*,42,42.242640687119284,79,1.0797977447509766,,,0,True
den312d,65,81,41,"(56, 47)","(53, 6)",44,41.10960958218893,Dijkstra,42,42.242640687119284,2166,16.930103302001953,,,0,True
den312d,65,81,41,"(56, 47)","(53, 6)",44,41.10960958218893,BFS,45,44.0,1956,3.5500526428222656,,,0,True
den312d,65,81,42,"(27, 59)","(5, 7)",74,56.462376853972415,AILS,58,64.04163056034258,196,3.203868865966797,357.0,0.9160041809082031,0,True
den312d,65,81,42,"(27, 59)","(5, 7)",74,56.462376853972415,A*,58,64.04163056034258,373,4.305601119995117,,,0,True
