grid_size,obstacle_density,pattern,trial_id,algorithm,std_time,std_expanded,std_visited,std_path_length,std_path_cost,std_success,ils_time,ils_expanded,ils_visited,ils_path_length,ils_path_cost,ils_success,ils_iterations,ails_std_time,ails_std_expanded,ails_std_visited,ails_std_path_length,ails_std_path_cost,ails_std_success,ails_std_iterations,ails_std_corridor_size,ails_pred_time,ails_pred_expanded,ails_pred_visited,ails_pred_path_length,ails_pred_path_cost,ails_pred_success,ails_grad_time,ails_grad_expanded,ails_grad_visited,ails_grad_path_length,ails_grad_path_cost,ails_grad_success,ils_time_improvement,ails_pred_time_improvement,ails_pred_vs_ils_improvement
50,0.1,random,0,A*,0.018308162689208984,333,333,53,71.04400000000004,True,0.016735553741455078,333,333,53,71.04400000000004,True,1,0.0043795108795166016,151,151,53,71.04400000000004,True,1,244,0.004522085189819336,151,151,53,71.04400000000004,True,0.007361173629760742,218,218,53,71.04400000000004,True,8.58966011199375,75.30016929287667,72.97917200900362
50,0.1,random,0,Dijkstra,0.279252290725708,2237,2237,53,71.04400000000004,True,0.008586645126342773,537,537,53,71.04400000000004,True,1,0.0031642913818359375,209,209,53,71.04400000000004,True,1,244,0.0030977725982666016,209,209,53,71.04400000000004,True,0.005431652069091797,346,346,53,71.04400000000004,True,96.92512992318588,98.89069035379575,63.923365264473134
50,0.1,random,0,BFS,0.03283953666687012,2237,2237,53,52.0,True,0.007101535797119141,537,537,53,52.0,True,1,0.0027129650115966797,209,209,53,52.0,True,1,244,0.0027191638946533203,209,209,53,52.0,True,0.004642963409423828,346,346,53,52.0,True,78.37504265313383,91.71984695692578,61.710199422547504
50,0.1,random,0,DFS,0.028829097747802734,2138,2138,118,117.0,True,0.006952762603759766,505,505,70,69.0,True,1,0.0027017593383789062,197,197,61,60.0,True,1,244,0.0025064945220947266,197,197,61,60.0,True,0.003966569900512695,295,295,69,68.0,True,75.88282968623365,91.30567822822077,63.949660517111305
50,0.1,random,0,Greedy,0.00225067138671875,54,54,53,52.0,True,0.002082347869873047,54,54,53,52.0,True,1,0.001939535140991211,54,54,53,52.0,True,1,244,0.0018837451934814453,54,54,53,52.0,True,0.0022428035736083984,54,54,53,52.0,True,7.478813559322034,16.302966101694917,9.537439890084725
50,0.1,random,0,Bidirectional,0.01543569564819336,1251,1345,53,52.0,True,0.006908893585205078,524,542,53,52.0,True,1,0.0033211708068847656,205,212,53,52.0,True,1,244,0.00564122200012207,205,212,53,52.0,True,0.005953788757324219,331,343,53,52.0,True,55.24080195236477,63.45339964783294,18.34840223617917
50,0.1,random,1,A*,0.0020647048950195312,66,66,51,69.87200000000004,True,0.002065420150756836,66,66,51,69.87200000000004,True,1,0.001142740249633789,66,66,51,69.87200000000004,True,1,244,0.0010821819305419922,66,66,51,69.87200000000004,True,0.0011563301086425781,66,66,51,69.87200000000004,True,-0.03464203233256351,47.586605080831404,47.60475585824772
50,0.1,random,1,Dijkstra,0.03400754928588867,2243,2243,51,69.87200000000004,True,0.004652261734008789,545,545,51,69.87200000000004,True,1,0.0018868446350097656,224,224,51,69.87200000000004,True,1,244,0.0018460750579833984,224,224,51,69.87200000000004,True,0.0028259754180908203,342,342,51,69.87200000000004,True,86.31991474922532,94.57157279266394,60.318761851073646
50,0.1,random,1,BFS,0.014564275741577148,2243,2243,51,50.0,True,0.003695249557495117,545,545,51,50.0,True,1,0.0015277862548828125,224,224,51,50.0,True,1,244,0.0014910697937011719,224,224,51,50.0,True,0.0023076534271240234,342,342,51,50.0,True,74.62798958861951,89.76214251804802,59.649009613523454
50,0.1,random,1,DFS,0.013463735580444336,1905,1905,133,132.0,True,0.003827810287475586,535,535,76,75.0,True,1,0.001615285873413086,223,223,54,53.0,True,1,244,0.0015592575073242188,223,223,54,53.0,True,0.002239704132080078,307,307,64,63.0,True,71.5694781392219,88.41883444599883,59.2650264715042
50,0.1,random,1,Greedy,0.0010759830474853516,51,51,51,50.0,True,0.0010867118835449219,51,51,51,50.0,True,1,0.0011248588562011719,51,51,51,50.0,True,1,244,0.0010497570037841797,51,51,51,50.0,True,0.0011043548583984375,51,51,51,50.0,True,-0.9971194327498338,2.437403057832927,3.400614304519526
50,0.1,random,1,Bidirectional,0.007657527923583984,1167,1261,51,50.0,True,0.0035016536712646484,513,535,51,50.0,True,1,0.0015285015106201172,221,228,52,51.0,True,1,244,0.0014798641204833984,221,228,52,51.0,True,0.002238035202026367,329,341,51,50.0,True,54.27174792950993,80.67438819353634,57.738135766323964
50,0.1,random,2,A*,0.004743814468383789,268,268,52,70.45800000000004,True,0.0049076080322265625,268,268,52,70.45800000000004,True,1,0.002379179000854492,198,198,52,70.45800000000004,True,1,244,0.002397298812866211,198,198,52,70.45800000000004,True,0.0033197402954101562,253,253,52,70.45800000000004,True,-3.4527818264059906,49.464743428657584,51.15137971239798
50,0.1,random,2,Dijkstra,0.01861286163330078,2253,2253,52,70.45800000000004,True,0.004590749740600586,560,560,52,70.45800000000004,True,1,0.0018072128295898438,226,226,52,70.45800000000004,True,1,244,0.0017969608306884766,226,226,52,70.45800000000004,True,0.002883434295654297,357,357,52,70.45800000000004,True,75.33560485730388,90.34559614694882,60.85692028044664
50,0.1,random,2,BFS,0.014539241790771484,2253,2253,52,51.0,True,0.0038073062896728516,560,560,52,51.0,True,1,0.0016214847564697266,226,226,52,51.0,True,1,244,0.0015406608581542969,226,226,52,51.0,True,0.0024595260620117188,357,357,52,51.0,True,73.81358433636154,89.40343052048145,59.534097313545
50,0.1,random,2,DFS,0.015966415405273438,2135,2135,120,119.0,True,0.003921031951904297,534,534,79,78.0,True,1,0.001631021499633789,226,226,53,52.0,True,1,244,0.001583099365234375,226,226,53,52.0,True,0.0024836063385009766,326,326,67,66.0,True,75.44200215028073,90.08481662883764,59.62544083667761
50,0.1,random,2,Greedy,0.0011050701141357422,52,52,52,51.0,True,0.0011048316955566406,52,52,52,51.0,True,1,0.0010776519775390625,52,52,52,51.0,True,1,244,0.001013040542602539,52,52,52,51.0,True,0.0010991096496582031,52,52,52,51.0,True,0.021574973031283712,8.327939590075513,8.308157099697885
50,0.1,random,2,Bidirectional,0.007746458053588867,1191,1281,52,51.0,True,0.003706693649291992,535,557,52,51.0,True,1,0.001527547836303711,222,230,53,52.0,True,1,244,0.0015034675598144531,222,230,53,52.0,True,0.0023775100708007812,348,358,53,52.0,True,52.14982610569081,80.59154842879566,59.43912008747668
50,0.1,random,3,A*,0.0031511783599853516,210,210,53,71.04400000000004,True,0.003007650375366211,210,210,53,71.04400000000004,True,1,0.0020263195037841797,164,164,54,71.63000000000004,True,1,244,0.0019834041595458984,164,164,54,71.63000000000004,True,0.0029993057250976562,227,227,54,71.63000000000004,True,4.554740107437391,37.05833396383446,34.054696789536266
50,0.1,random,3,Dijkstra,0.019138097763061523,2243,2243,53,71.04400000000004,True,0.004670858383178711,545,545,53,71.04400000000004,True,1,0.0017790794372558594,218,218,54,71.63000000000004,True,1,244,0.0017342567443847656,218,218,54,71.63000000000004,True,0.0026297569274902344,324,324,54,71.63000000000004,True,75.59392557710754,90.93819685814304,62.87070593639936
50,0.1,random,3,BFS,0.014600276947021484,2243,2243,53,52.0,True,0.0041484832763671875,545,545,53,52.0,True,1,0.0029027462005615234,218,218,54,53.0,True,1,244,0.00286102294921875,218,218,54,53.0,True,0.004277706146240234,324,324,54,53.0,True,71.58626996309481,80.40432411247917,31.03448275862069
50,0.1,random,3,DFS,0.01784658432006836,1883,1883,155,154.0,True,0.003747701644897461,510,510,73,72.0,True,1,0.002012968063354492,218,218,57,56.0,True,1,244,0.0015995502471923828,218,218,57,56.0,True,0.0028073787689208984,299,299,67,66.0,True,79.00045421754348,91.03721911988671,57.319167885997835
50,0.1,random,3,Greedy,0.001115560531616211,54,54,54,53.0,True,0.0010933876037597656,54,54,54,53.0,True,1,0.0009710788726806641,54,54,54,53.0,True,1,244,0.0009598731994628906,54,54,54,53.0,True,0.0012822151184082031,54,54,54,53.0,True,1.9876041889292584,13.955973498610813,12.211077191452247
50,0.1,random,3,Bidirectional,0.0149688720703125,1236,1331,53,52.0,True,0.0069353580474853516,525,549,54,53.0,True,1,0.002849102020263672,211,220,54,53.0,True,1,244,0.002777099609375,211,220,54,53.0,True,0.004305601119995117,308,328,54,53.0,True,53.66813200815494,81.44750254841998,59.95737220255079
50,0.1,random,4,A*,0.006222724914550781,218,218,52,70.45800000000004,True,0.0040209293365478516,218,218,52,70.45800000000004,True,1,0.0020165443420410156,147,147,52,70.45800000000004,True,1,244,0.001898050308227539,147,147,52,70.45800000000004,True,0.0024650096893310547,181,181,52,70.45800000000004,True,35.383141762452105,69.49808429118775,52.79573080343908
50,0.1,random,4,Dijkstra,0.01868748664855957,2266,2266,52,70.45800000000004,True,0.004713773727416992,564,564,52,70.45800000000004,True,1,0.0019240379333496094,228,228,52,70.45800000000004,True,1,244,0.0018720626831054688,228,228,52,70.45800000000004,True,0.002713918685913086,327,327,52,70.45800000000004,True,74.77577474132761,89.98226611040941,60.285266299124984
50,0.1,random,4,BFS,0.014883995056152344,2266,2266,52,51.0,True,0.0038874149322509766,564,564,52,51.0,True,1,0.0020372867584228516,228,228,52,51.0,True,1,244,0.0015759468078613281,228,228,52,51.0,True,0.0022649765014648438,327,327,52,51.0,True,73.88191196258089,89.41180239636061,59.46028825513646
50,0.1,random,4,DFS,0.014843463897705078,2071,2071,134,133.0,True,0.003990888595581055,551,551,84,83.0,True,1,0.0016694068908691406,228,228,54,53.0,True,1,244,0.0015769004821777344,228,228,54,53.0,True,0.002257823944091797,314,314,61,60.0,True,73.11349545439944,89.37646567509397,60.48748431805963
50,0.1,random,4,Greedy,0.0012171268463134766,52,52,52,51.0,True,0.0011432170867919922,52,52,52,51.0,True,1,0.0011239051818847656,52,52,52,51.0,True,1,244,0.0010979175567626953,52,52,52,51.0,True,0.0011434555053710938,52,52,52,51.0,True,6.072477962781587,9.79431929480901,3.962460896767466
50,0.1,random,4,Bidirectional,0.007940530776977539,1218,1314,52,51.0,True,0.005009651184082031,542,567,52,51.0,True,1,0.002972841262817383,224,233,52,51.0,True,1,244,0.002780914306640625,224,233,52,51.0,True,0.004033327102661133,321,332,52,51.0,True,36.91037381774508,64.97823149677225,44.488863506567675
