grid_size_label,algorithm,time_mean,time_std,time_median,nodes_mean,nodes_std,memory_mean,memory_max,trials
10000x10000,A*,41786.17,35889.51,35803.67,2757525.76,2358940.07,0.0,0.0,25
10000x10000,AILS,1048.47,788.51,921.36,77198.1,47040.42,0.0,0.0,29
10000x10000,JPS,32160.04,19788.68,30768.03,2237866.3,1303764.74,0.0,0.0,10
1000x1000,A*,825.67,1902.66,238.7,69500.55,153177.49,0.0,0.0,116
1000x1000,AILS,88.99,247.52,42.43,7682.69,19026.25,0.0,0.0,100
1000x1000,JPS,769.22,2084.75,258.79,11062.01,11906.15,0.0,0.0,115
5000x5000,A*,12984.75,15074.79,6786.08,999783.4,1146645.46,0.0,0.0,52
5000x5000,AILS,322.01,170.7,298.04,28915.69,16829.63,0.0,0.0,51
5000x5000,JPS,18146.89,23875.66,9964.82,684212.8,1240856.92,0.0,0.0,41
